symbol,occurrences,distinct_components,host_present,components,files
inspection_schedule_items,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_020625_create_schedule_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_020625_create_schedule_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_020625_qc_create_schedule_items_table.php
inspection_schedule_recurring,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_013151_create_schedule_recurring_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_013151_create_schedule_recurring_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_013151_qc_create_schedule_recurring_table.php
inspection_schedule_recurring_items,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_015641_create_schedule_recurring_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_015641_create_schedule_recurring_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_015641_qc_create_schedule_recurring_items_table.php
inspection_schedule_replies,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_034644_create_schedule_replies_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_034644_create_schedule_replies_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_034644_qc_create_schedule_replies_table.php
inspection_schedules,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_020525_create_schedules_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_020525_create_schedules_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_020525_qc_create_schedules_table.php
inspection_template_items,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2025_12_23_030100_create_inspection_template_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2025_12_23_030100_create_inspection_template_items_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2025_12_23_030100_qc_create_inspection_template_items_table.php
inspection_templates,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2025_12_23_030000_create_inspection_templates_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2025_12_23_030000_create_inspection_templates_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2025_12_23_030000_qc_create_inspection_templates_table.php
jobs,3,3,yes,06_WORKFORCE_AND_ONBOARDING/Recruitment | MagicAI + WorkCore host | Titan Train v0.7.0,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Recruitment/Recruitment/Database/Migrations/2023_11_23_115900_create_jobs_table.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/database/migrations/0001_01_01_000002_create_jobs_table.php | host:database/migrations/2023_03_01_113559_create_jobs_table.php
leave_accruals,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_07_12_113935_create_leave_accruals_table.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_07_12_113935_create_leave_accruals_table.php
leave_balance_adjustments,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_07_12_114142_create_leave_balance_adjustments_table.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_07_12_114142_create_leave_balance_adjustments_table.php
